,docId,isValid,passage,passage_id,e1,e2
0,AIMed.d0,False,"Cytokines measurements during [PROTEIN1] IFN-alpha [/PROTEIN1] treatment showed a trend to decreasing levels of [PROTEIN2] IL-4 [/PROTEIN2] at 4, 12, and 24 weeks.",AIMed.d0.s5,IFN-alpha,IL-4
1,AIMed.d0,False,Levels of [PROTEIN1] IFN-gamma [/PROTEIN1] were slightly increased following [PROTEIN2] IFN-alpha [/PROTEIN2] treatment (P = 0.09).,AIMed.d0.s6,IFN-gamma,IFN-alpha
2,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of [PROTEIN2] IFN-gamma [/PROTEIN2] were higher at 24 weeks following [PROTEIN1] IFN-alpha [/PROTEIN1] treatment than that of pre-treatment (P = 0.04), and the levels of IL-4 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7,IFN-alpha,IFN-gamma
3,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of IFN-gamma were higher at 24 weeks following [PROTEIN1] IFN-alpha [/[PROTEIN2] IFN-alpha [/PROTEIN2] treatment than that of pre-treatment (P = 0.04), and the levels of IL-4 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7,IFN-alpha,IFN-alpha
4,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of IFN-gamma were higher at 24 weeks following [PROTEIN1] IFN-alpha [/PROTEIN1] treatment than that of pre-treatment (P = 0.04), and the levels of [PROTEIN2] IL-4 [/PROTEIN2] decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7,IFN-alpha,IL-4
5,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of [PROTEIN1] IFN-gamma [/PROTEIN1] were higher at 24 weeks following [PROTEIN2] IFN-alpha [/PROTEIN2] treatment than that of pre-treatment (P = 0.04), and the levels of IL-4 decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7,IFN-gamma,IFN-alpha
6,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of [PROTEIN1] IFN-gamma [/PROTEIN1] were higher at 24 weeks following IFN-alpha treatment than that of pre-treatment (P = 0.04), and the levels of [PROTEIN2] IL-4 [/PROTEIN2] decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7,IFN-gamma,IL-4
7,AIMed.d0,False,"In patients with a complete response to IFN-alpha, the levels of IFN-gamma were higher at 24 weeks following [PROTEIN1] IFN-alpha [/PROTEIN1] treatment than that of pre-treatment (P = 0.04), and the levels of [PROTEIN2] IL-4 [/PROTEIN2] decreased markedly at 12 and 24 weeks (P = 0.02, 0.03, respectively). mRNA expression positively correlated with the level of Th1/Th2 type cytokines in the supernatant.",AIMed.d0.s7,IFN-alpha,IL-4
8,AIMed.d1,False,"This study describes the distributions of [PROTEIN1] bone morphogenetic protein (BMP)-2 [/PROTEIN1] as well as mRNAs for [PROTEIN2] BMP receptor type IB [/PROTEIN2] (BMPRIB). collagen types II (Col II) and III (Col III) in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12,bone morphogenetic protein (BMP)-2,BMP receptor type IB
9,AIMed.d1,False,"This study describes the distributions of [PROTEIN1] bone morphogenetic protein (BMP)-2 [/PROTEIN1] as well as mRNAs for BMP receptor type IB ([PROTEIN2] BMPRIB [/PROTEIN2]). collagen types II (Col II) and III (Col III) in a growing ""cartilage cap"" of osteochondroma.",AIMed.d1.s12,bone morphogenetic protein (BMP)-2,BMPRIB
