,docId,isValid,passage,passage_id
0,BioInfer.d0,True,[PROTEIN2] alpha-catenin [/PROTEIN2] inhibits beta-catenin signaling by preventing formation of a beta-catenin*[PROTEIN1] T-cell factor [/PROTEIN1]*DNA complex.,BioInfer.d0.s0
1,BioInfer.d0,True,alpha-catenin inhibits beta-catenin signaling by preventing formation of a [PROTEIN2] beta-catenin [/PROTEIN2]*[PROTEIN1] T-cell factor [/PROTEIN1]*DNA complex.,BioInfer.d0.s0
2,BioInfer.d0,True,alpha-catenin inhibits beta-catenin signaling by preventing formation of a [PROTEIN2] beta-catenin [/PROTEIN2]*[PROTEIN1] T-cell factor [/PROTEIN1]*DNA complex.,BioInfer.d0.s0
3,BioInfer.d0,True,[PROTEIN1] alpha-catenin [/PROTEIN1] inhibits beta-catenin signaling by preventing formation of a [PROTEIN2] beta-catenin [/PROTEIN2]*T-cell factor*DNA complex.,BioInfer.d0.s0
4,BioInfer.d0,True,[PROTEIN1] alpha-catenin [/PROTEIN1] inhibits beta-catenin signaling by preventing formation of a [PROTEIN2] beta-catenin [/PROTEIN2]*T-cell factor*DNA complex.,BioInfer.d0.s0
5,BioInfer.d0,True,alpha-catenin inhibits beta-catenin signaling by preventing formation of a [PROTEIN1] beta-catenin[PROTEIN2] beta-catenin [/PROTEIN2]*T-cell factor*DNA complex.,BioInfer.d0.s0
6,BioInfer.d1,True,A binary complex of birch [PROTEIN1] profilin [/PROTEIN1] and [PROTEIN2] skeletal muscle actin [/PROTEIN2] could be isolated by gel chromatography.,BioInfer.d1.s0
7,BioInfer.d1,True,"Birch [PROTEIN2] profilin [/PROTEIN2] increased the critical concentration required for muscle and [PROTEIN1] brain actin [/PROTEIN1] polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal actin.",BioInfer.d1.s1
8,BioInfer.d1,True,"Birch [PROTEIN1] profilin [/PROTEIN1] increased the critical concentration required for [PROTEIN2] muscle actin [/PROTEIN2] and [PROTEIN2] muscle actin [/PROTEIN2] actin polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal actin.",BioInfer.d1.s1
9,BioInfer.d1,True,"Birch [PROTEIN1] profilin [/PROTEIN1] increased the critical concentration required for muscle and brain actin polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal [PROTEIN2] actin [/PROTEIN2].",BioInfer.d1.s1
10,BioInfer.d1,False,"Birch profilin increased the critical concentration required for muscle and brain actin polymerizat[PROTEIN1] brain actin [/PROTEIN1]EIN2] muscle actin [/PROTEIN2]ncentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal actin.",BioInfer.d1.s1
11,BioInfer.d1,False,"Birch profilin increased the critical concentration required for muscle and [PROTEIN1] brain actin [/PROTEIN1] polymerization in a concentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal [PROTEIN2] actin [/PROTEIN2].",BioInfer.d1.s1
12,BioInfer.d1,False,"Birch profilin increased the critical concentration required for muscle and brain actin polymerization in[PROTEIN1] muscle actin [/PROTEIN1]ncentration-dependent manner, supporting the notion of the formation of a heterologous complex between the plant protein and animal actin.[PROTEIN2] actin [/PROTEIN2]",BioInfer.d1.s1
13,BioInfer.d1,True,Interaction of plant [PROTEIN1] profilin [/PROTEIN1] with mammalian [PROTEIN2] actin [/PROTEIN2].,BioInfer.d1.s2
14,BioInfer.d1,True,"In viscometric assays, the birch protein was seen to modulate [PROTEIN1] actin [/PROTEIN1] filament formation analogous to animal [PROTEIN2] profilin [/PROTEIN2].",BioInfer.d1.s3
