,docId,isValid,passage,passage_id,e1,e2
0,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits (TFIIIC102 and TFIIIC63) of human TFIIIC and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0,TFIIIC102,TFIIIC63
1,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits (TFIIIC102 and TFIIIC63) of human TFIIIC and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0,TFIIIC102,TFIIIC
2,HPRD50.d0,False,Cloning and characterization of two evolutionarily conserved subunits (TFIIIC102 and TFIIIC63) of human TFIIIC and their involvement in functional interactions with TFIIIB and RNA polymerase III,HPRD50.d0.s0,TFIIIC63,TFIIIC
3,HPRD50.d1,True,"Identification of residues in the monocyte chemotactic protein-1 that contact the MCP-1 receptor, CCR2",HPRD50.d1.s0,monocyte chemotactic protein-1,CCR2
4,HPRD50.d1,False,"The receptor binding site of MCP-1 also is significantly different from the binding sites of RANTES and IL-8, providing insight into the issue of receptor specificity",HPRD50.d1.s1,MCP-1,RANTES
5,HPRD50.d1,False,"The receptor binding site of MCP-1 also is significantly different from the binding sites of RANTES and IL-8, providing insight into the issue of receptor specificity",HPRD50.d1.s1,MCP-1,IL-8
6,HPRD50.d1,False,"The receptor binding site of MCP-1 also is significantly different from the binding sites of RANTES and IL-8, providing insight into the issue of receptor specificity",HPRD50.d1.s1,RANTES,IL-8
7,HPRD50.d1,True,It was previously shown that the N-terminus of CCR2 is critical for binding MCP-1,HPRD50.d1.s2,CCR2,MCP-1
8,HPRD50.d1,True,"To identify the regions of MCP-1 that contact its receptor, CCR2, we substituted all surface-exposed residues with alanine",HPRD50.d1.s3,MCP-1,CCR2
9,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the CG beta subunit or the CG beta alpha and FSH beta monomer,HPRD50.d2.s0,CG beta,CG beta alpha
10,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the CG beta subunit or the CG beta alpha and FSH beta monomer,HPRD50.d2.s0,CG beta,FSH beta
11,HPRD50.d2,False,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the CG beta subunit or the CG beta alpha and FSH beta monomer,HPRD50.d2.s0,CG beta alpha,FSH beta
12,HPRD50.d2,False,The formation of a functional single chain/subunit complex was not restricted to the FSH single chain/CG beta subunit since CG single chain interacts with the monomeric FSH beta subunit and exhibits FSH activity,HPRD50.d2.s1,CG beta,FSH beta
13,HPRD50.d2,False,"This is relevant for the case of LH and FSH, because both are synthesized in the same cell (i.e., pituitary gonadotrophs) and several of the alpha subunit sequences required for association with either the LH beta or FSH beta subunits are different",HPRD50.d2.s2,LH beta,FSH beta
14,HPRD50.d2,False,"Previously, we showed that the CG beta or FSH beta subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, CG beta alpha and F beta alpha, respectively",HPRD50.d2.s3,CG beta,FSH beta
15,HPRD50.d2,False,"Previously, we showed that the CG beta or FSH beta subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, CG beta alpha and F beta alpha, respectively",HPRD50.d2.s3,CG beta,CG beta alpha
16,HPRD50.d2,False,"Previously, we showed that the CG beta or FSH beta subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, CG beta alpha and F beta alpha, respectively",HPRD50.d2.s3,FSH beta,CG beta alpha
17,HPRD50.d3,True,"Interleukin-6 activates phosphatidylinositol-3 kinase, which inhibits apoptosis in human prostate cancer cell lines",HPRD50.d3.s0,Interleukin-6,phosphatidylinositol-3 kinase
18,HPRD50.d3,False,RESULTS: Tyrosine phosphorylation of p85 is upregulated by IL-6 in both LNCaP and PC-3,HPRD50.d3.s1,IL-6,PC-3
19,HPRD50.d3,True,"IL-6 promotes coprecipitation of p85 with gp130, the signal-transducing component of the IL-6 receptor",HPRD50.d3.s2,IL-6,gp130
