,docId,isValid,passage,passage_id,e1,e2
0,IEPA.d0,True,Oxytocin stimulates IP3 production in dose-dependent fashion as well,IEPA.d0.s0,Oxytocin,IP3
1,IEPA.d1,True,"Phosphoinositide hydrolysis, resulting in inositol trisphosphate (IP3) and diacylglycerol (DG) formation, has been implicated in oxytocin-stimulated pulsatile secretion of prostaglandin F2 alpha (PGF2 alpha) from uterine endometrium of sheep and other mammals",IEPA.d1.s1,inositol trisphosphate,oxytocin
2,IEPA.d2,True,"SP ewes also had greater incorporation of [3H]inositol into inositol trisphosphate (IP3) (+3449%, p less than 0.01) and total inositol phosphate (IP) (+760%, p less than 0.08), in response to oxytocin, than did oCSP ewes (+553 and +168% for IP3 and total IP, respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2,inositol trisphosphate,oxytocin
3,IEPA.d2,True,"SP ewes also had greater incorporation of [3H]inositol into inositol trisphosphate (IP3) (+3449%, p less than 0.01) and total inositol phosphate (IP) (+760%, p less than 0.08), in response to oxytocin, than did oCSP ewes (+553 and +168% for IP3 and total IP, respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2,inositol phosphate,oxytocin
4,IEPA.d2,True,"SP ewes also had greater incorporation of [3H]inositol into inositol trisphosphate (IP3) (+3449%, p less than 0.01) and total inositol phosphate (IP) (+760%, p less than 0.08), in response to oxytocin, than did oCSP ewes (+553 and +168% for IP3 and total IP, respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2,oxytocin,IP3
5,IEPA.d2,True,"SP ewes also had greater incorporation of [3H]inositol into inositol trisphosphate (IP3) (+3449%, p less than 0.01) and total inositol phosphate (IP) (+760%, p less than 0.08), in response to oxytocin, than did oCSP ewes (+553 and +168% for IP3 and total IP, respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2,oxytocin,IP
6,IEPA.d2,False,"SP ewes also had greater incorporation of [3H]inositol into inositol trisphosphate (IP3) (+3449%, p less than 0.01) and total inositol phosphate (IP) (+760%, p less than 0.08), in response to oxytocin, than did oCSP ewes (+553 and +168% for IP3 and total IP, respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2,inositol trisphosphate,inositol phosphate
7,IEPA.d2,False,"SP ewes also had greater incorporation of [3H]inositol into inositol trisphosphate (IP3) (+3449%, p less than 0.01) and total inositol phosphate (IP) (+760%, p less than 0.08), in response to oxytocin, than did oCSP ewes (+553 and +168% for IP3 and total IP, respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2,inositol trisphosphate,IP3
8,IEPA.d2,False,"SP ewes also had greater incorporation of [3H]inositol into inositol trisphosphate (IP3) (+3449%, p less than 0.01) and total inositol phosphate (IP) (+760%, p less than 0.08), in response to oxytocin, than did oCSP ewes (+553 and +168% for IP3 and total IP, respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2,inositol trisphosphate,IP
9,IEPA.d2,False,"SP ewes also had greater incorporation of [3H]inositol into inositol trisphosphate (IP3) (+3449%, p less than 0.01) and total inositol phosphate (IP) (+760%, p less than 0.08), in response to oxytocin, than did oCSP ewes (+553 and +168% for IP3 and total IP, respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",IEPA.d2.s2,inositol phosphate,IP3
