,docId,isValid,passage,passage_id
0,LLL.d0,True,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that <PROTEIN1>KinC<PROTEIN1> and KinD were responsible for <PROTEIN2>Spo0A~P<PROTEIN2> production during the exponential phase of growth in the absence of KinA and KinB.",LLL.d0.s0
1,LLL.d0,True,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and <PROTEIN1>KinD<PROTEIN1> were responsible for <PROTEIN2>Spo0A~P<PROTEIN2> production during the exponential phase of growth in the absence of KinA and KinB.",LLL.d0.s0
2,LLL.d0,False,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that <PROTEIN1>KinC<PROTEIN1> and <PROTEIN2>KinD<PROTEIN2> were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.",LLL.d0.s0
3,LLL.d1,True,"In this mutant, expression of the <PROTEIN2>spoIIG<PROTEIN2> gene, whose transcription depends on both <PROTEIN1>sigma(A)<PROTEIN1> and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",LLL.d1.s0
4,LLL.d1,True,"In this mutant, expression of the <PROTEIN2>spoIIG<PROTEIN2> gene, whose transcription depends on both sigma(A) and the phosphorylated <PROTEIN1>Spo0A<PROTEIN1> protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",LLL.d1.s0
5,LLL.d1,False,"In this mutant, expression of the spoIIG gene, whose transcription depends on both <PROTEIN1>sigma(A)<PROTEIN1> and the phosphorylated <PROTEIN2>Spo0A<PROTEIN2> protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",LLL.d1.s0
6,LLL.d2,True,"Transcription of <PROTEIN2>ydhD<PROTEIN2> was dependent on <PROTEIN1>SigE<PROTEIN1>, and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation).",LLL.d2.s0
7,LLL.d2,True,<PROTEIN2>ykuD<PROTEIN2> was transcribed by <PROTEIN1>SigK<PROTEIN1> RNA polymerase from T4 of sporulation.,LLL.d2.s1
8,LLL.d2,True,"Both <PROTEIN1>SigK<PROTEIN1> and GerE were essential for <PROTEIN2>ykvP<PROTEIN2> expression, and this gene was transcribed from T5 of sporulation.",LLL.d2.s2
9,LLL.d2,True,"Both SigK and <PROTEIN1>GerE<PROTEIN1> were essential for <PROTEIN2>ykvP<PROTEIN2> expression, and this gene was transcribed from T5 of sporulation.",LLL.d2.s2
