,docId,isValid,passage,passage_id,e1,e2
0,LLL.d0,True,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.",LLL.d0.s0,KinC,Spo0A~P
1,LLL.d0,True,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.",LLL.d0.s0,KinD,Spo0A~P
2,LLL.d0,False,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.",LLL.d0.s0,KinC,KinD
3,LLL.d1,True,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",LLL.d1.s0,sigma(A),spoIIG
4,LLL.d1,True,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",LLL.d1.s0,Spo0A,spoIIG
5,LLL.d1,False,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",LLL.d1.s0,sigma(A),Spo0A
6,LLL.d2,True,"Transcription of ydhD was dependent on SigE, and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation).",LLL.d2.s0,SigE,ydhD
7,LLL.d2,True,ykuD was transcribed by SigK RNA polymerase from T4 of sporulation.,LLL.d2.s1,SigK,ykuD
8,LLL.d2,True,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.",LLL.d2.s2,SigK,ykvP
9,LLL.d2,True,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.",LLL.d2.s2,GerE,ykvP
10,LLL.d2,False,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.",LLL.d2.s2,SigK,GerE
11,LLL.d3,True,"Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G).",LLL.d3.s0,sigma(F),ywhE
12,LLL.d3,True,"Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G).",LLL.d3.s0,sigma(G),ywhE
13,LLL.d3,False,"Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G).",LLL.d3.s0,sigma(F),sigma(G)
14,LLL.d4,True,"Secondly, SpoIIE is essential for the activation of the first compartment-specific transcription factor sigma(F) in the prespore.",LLL.d4.s0,SpoIIE,sigma(F)
15,LLL.d4,True,Localization of SpoIIE was shown to be dependent on the essential cell division protein FtsZ.,LLL.d4.s1,FtsZ,SpoIIE
16,LLL.d5,True,"In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl.",LLL.d5.s0,sigma(H),spo0A
17,LLL.d5,True,"In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl.",LLL.d5.s0,sigma(H),spoVG
18,LLL.d5,False,"In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl.",LLL.d5.s0,spo0A,spoVG
19,LLL.d6,True,The expression of rsfA is under the control of both sigma(F) and sigma(G).,LLL.d6.s0,sigma(F),rsfA
20,LLL.d6,True,The expression of rsfA is under the control of both sigma(F) and sigma(G).,LLL.d6.s0,sigma(G),rsfA
21,LLL.d6,False,The expression of rsfA is under the control of both sigma(F) and sigma(G).,LLL.d6.s0,sigma(F),sigma(G)
22,LLL.d7,True,Expression of the sigma(K)-dependent cwlH gene depended on gerE.,LLL.d7.s0,sigma(K),cwlH
23,LLL.d7,True,Expression of the sigma(K)-dependent cwlH gene depended on gerE.,LLL.d7.s0,gerE,cwlH
24,LLL.d7,False,Expression of the sigma(K)-dependent cwlH gene depended on gerE.,LLL.d7.s0,sigma(K),gerE
25,LLL.d8,True,"Our results indicate that the level of KatX level in outgrowing spores depends mainly on EsigmaF, because sigB mutants show normal KatX activity in dormant and outgrowing spores.",LLL.d8.s0,EsigmaF,KatX
26,LLL.d8,True,"Therefore, the physiological role of sigmaB-dependent katX expression remains obscure.",LLL.d8.s1,sigmaB,katX
27,LLL.d8,True,"The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide.",LLL.d8.s2,sigmaB,katX
28,LLL.d8,True,"The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide.",LLL.d8.s2,sigmaF,katX
29,LLL.d8,False,"The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide.",LLL.d8.s2,sigmaB,sigmaF
30,LLL.d8,True,"We demonstrated that katX is also a sigmaB-dependent general stress gene, since it is strongly induced by heat, salt and ethanol stress, as well as by energy depletion.",LLL.d8.s3,sigmaB,katX
31,LLL.d9,True,"Taken together, the results support the idea that sequestration of SpoIIE protein into the prespore plays an important role in the control of sigmaF activation and in coupling this activation to septation.",LLL.d9.s0,SpoIIE,sigmaF
32,LLL.d9,True,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.",LLL.d9.s1,SpoIIAB,sigmaF
33,LLL.d9,True,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.",LLL.d9.s1,SpoIIAA,sigmaF
34,LLL.d9,True,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.",LLL.d9.s1,SpoIIE,sigmaF
35,LLL.d9,True,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.",LLL.d9.s1,SpoIIE,SpoIIAA
36,LLL.d9,False,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.",LLL.d9.s1,SpoIIAB,SpoIIAA
37,LLL.d9,False,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.",LLL.d9.s1,SpoIIAB,SpoIIE
38,LLL.d9,False,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.",LLL.d9.s1,SpoIIAB,SpoIIAA
39,LLL.d9,False,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.",LLL.d9.s1,SpoIIAA,SpoIIE
40,LLL.d9,False,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.",LLL.d9.s1,SpoIIAA,SpoIIAA
41,LLL.d9,False,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form.",LLL.d9.s1,sigmaF,SpoIIAA
42,LLL.d10,True,"The rocG gene of Bacillus subtilis, encoding a catabolic glutamate dehydrogenase, is transcribed by SigL-containing RNA polymerase and requires for its expression RocR, a member of the NtrC/NifA family of proteins that bind to enhancer-like elements, called upstream activating sequences (UAS).",LLL.d10.s0,SigL,rocG
43,LLL.d10,True,"The rocG gene of Bacillus subtilis, encoding a catabolic glutamate dehydrogenase, is transcribed by SigL-containing RNA polymerase and requires for its expression RocR, a member of the NtrC/NifA family of proteins that bind to enhancer-like elements, called upstream activating sequences (UAS).",LLL.d10.s0,RocR,rocG
44,LLL.d10,False,"The rocG gene of Bacillus subtilis, encoding a catabolic glutamate dehydrogenase, is transcribed by SigL-containing RNA polymerase and requires for its expression RocR, a member of the NtrC/NifA family of proteins that bind to enhancer-like elements, called upstream activating sequences (UAS).",LLL.d10.s0,SigL,RocR
45,LLL.d10,True,"Unlike the case for other sigma(54)-dependent genes, rocG has no UAS; instead, its expression depends on a sequence located 1.5 kilobases downstream of the rocG promoter, beyond the end of the rocG coding region.",LLL.d10.s1,sigma(54),rocG
46,LLL.d12,True,Northern blot and primer extension analyses indicated that yfhS is transcribed by E sigma E during sporulation.,LLL.d12.s0,E sigma E,yfhS
47,LLL.d12,True,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.",LLL.d12.s1,YfhP,yfhQ
48,LLL.d12,True,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.",LLL.d12.s1,YfhP,yfhR
49,LLL.d12,True,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.",LLL.d12.s1,YfhP,sspE
50,LLL.d12,True,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.",LLL.d12.s1,YfhP,yfhP
51,LLL.d12,False,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.",LLL.d12.s1,yfhQ,yfhR
52,LLL.d12,False,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.",LLL.d12.s1,yfhQ,sspE
53,LLL.d12,False,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.",LLL.d12.s1,yfhQ,yfhP
54,LLL.d12,False,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.",LLL.d12.s1,yfhR,sspE
55,LLL.d12,False,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.",LLL.d12.s1,yfhR,yfhP
56,LLL.d12,False,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP.",LLL.d12.s1,sspE,yfhP
57,LLL.d14,True,"The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings.",LLL.d14.s0,FtsZ,SpoIIE
58,LLL.d14,True,"The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings.",LLL.d14.s0,FtsZ,SpoIIE
59,LLL.d14,False,"The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings.",LLL.d14.s0,FtsZ,FtsZ
60,LLL.d14,False,"The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings.",LLL.d14.s0,FtsZ,SpoIIE
61,LLL.d14,False,"The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings.",LLL.d14.s0,FtsZ,SpoIIE
62,LLL.d14,False,"The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings.",LLL.d14.s0,SpoIIE,SpoIIE
63,LLL.d14,True,Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that SpoIIE blocks the capacity of unphosphorylated SpoIIAA to activate sigmaF until formation of the polar septum is completed.,LLL.d14.s1,SpoIIE,SpoIIAA
