,Gene1,Gene2,Keywords,Direct dependency relations,INO Type,INO ID,Num. Keywords,Sentence
0,KinC,Spo0A~P,"responsible, production","nmod(responsible, production)",regulation of translation,INO_0000034,2,"In vivo studies of the activity of four of the kinases, KinA, [PROTEIN1] KinC [/PROTEIN1], KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of [PROTEIN2] Spo0A~P [/PROTEIN2] level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB."
1,KinD,Spo0A~P,"responsible, production","nmod(responsible, production)",regulation of translation,INO_0000034,2,"In vivo studies of the activity of four of the kinases, KinA, KinC, [PROTEIN1] KinD [/PROTEIN1] (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of [PROTEIN2] Spo0A~P [/PROTEIN2] level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB."
2,sigma(A),spoIIG,"transcription, depends","nsubj(depends, transcription)",regulation of transcription,INO_0000032,2,"In this mutant, expression of the [PROTEIN2] spoIIG [/PROTEIN2] gene, whose transcription depends on both [PROTEIN1] sigma(A) [/PROTEIN1] and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C."
3,Spo0A,spoIIG,"transcription, depends","nsubj(depends, transcription)",regulation of transcription,INO_0000032,2,"In this mutant, expression of the [PROTEIN2] spoIIG [/PROTEIN2] gene, whose transcription depends on both sigma(A) and the phosphorylated [PROTEIN1] Spo0A [/PROTEIN1] protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C."
4,SigE,ydhD,"transcription, dependent","nsubj(dependent, transcription)",regulation of transcription,INO_0000032,2,"Transcription of [PROTEIN2] ydhD [/PROTEIN2] was dependent on [PROTEIN1] SigE [/PROTEIN1], and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation)."
5,SigK,ykuD,transcribed,ONE WORD,regulation of transcription,INO_0000032,1,[PROTEIN2] ykuD [/PROTEIN2] was transcribed by [PROTEIN1] SigK [/PROTEIN1] RNA polymerase from T4 of sporulation.
6,SigK,ykvP,"essential, expression","nmod(essential, expression)",gene expression regulation,INO_0000044,2,"Both [PROTEIN1] SigK [/PROTEIN1] and GerE were essential for [PROTEIN2] ykvP [/PROTEIN2] expression, and this gene was transcribed from T5 of sporulation."
7,GerE,ykvP,"essential, expression","nmod(essential, expression)",gene expression regulation,INO_0000044,2,"Both SigK and [PROTEIN1] GerE [/PROTEIN1] were essential for [PROTEIN2] ykvP [/PROTEIN2] expression, and this gene was transcribed from T5 of sporulation."
8,sigma(F),ywhE,"expression, controlled",-1,gene expression regulation,INO_0000044,2,"Analysis of the expression of a translational [PROTEIN1] ywhE [/PROTEIN1]-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor [PROTEIN1] sigma(F) [/PROTEIN1], and to a lesser extent by sigma(G)."
10,SpoIIE,sigma(F),"essential, activation","nmod:for(essential, activation)",regulation of gene activation,INO_0000037,2,"Secondly, [PROTEIN1] SpoIIE [/PROTEIN1] is essential for the activation of the first compartment-specific transcription factor [PROTEIN2] sigma(F) [/PROTEIN2] in the prespore."
11,FtsZ,SpoIIE,"localization, dependent","nsubj(dependent, Localization)",regulation of protein location,INO_0000031,2,Localization of [PROTEIN2] SpoIIE [/PROTEIN2] was shown to be dependent on the essential cell division protein [PROTEIN1] FtsZ [/PROTEIN1].
13,sigma(H),spoVG,"dependent, expression","amod(expression, dependent)",gene expression regulation,INO_0000044,2,"In the shaA mutant, [PROTEIN1] sigma(H) [/PROTEIN1]-dependent expression of spo0A and [PROTEIN2] spoVG [/PROTEIN2] at an early stage of sporulation was sensitive to external NaCl."
14,sigma(F),rsfA,"expression, control","nsubj(control, expression)",gene expression regulation,INO_0000044,2,The expression of [PROTEIN2] rsfA [/PROTEIN2] is under the control of both [PROTEIN1] sigma(F) [/PROTEIN1] and sigma(G).
17,gerE,cwlH,"expression, depended",-1,gene expression regulation,INO_0000044,2,Expression of the sigma(K)-dependent [PROTEIN2] cwlH [/PROTEIN2] gene depended on [PROTEIN1] gerE [/PROTEIN1].
20,sigmaB,katX,"dependent, promoters","amod(promoters, sigmaF-dependent)",promoter-based regulation of transcription ,INO_0000079,2,"The -10 and -35 sequences of the [PROTEIN1] sigmaB [/PROTEIN1]- and sigmaF-dependent promoters of [PROTEIN2] katX [/PROTEIN2] overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide."
21,sigmaF,katX,"dependent, promoters","amod(promoters, sigmaF-dependent)",promoter-based regulation of transcription ,INO_0000079,2,"The -10 and -35 sequences of the sigmaB- and [PROTEIN1] sigmaF [/PROTEIN1]-dependent promoters of [PROTEIN2] katX [/PROTEIN2] overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide."
22,sigmaB,katX,dependent,ONE WORD,gene expression regulation,INO_0000044,1,"We demonstrated that [PROTEIN2] katX [/PROTEIN2] is also a [PROTEIN1] sigmaB [/PROTEIN1]-dependent general stress gene, since it is strongly induced by heat, salt and ethanol stress, as well as by energy depletion."
23,SpoIIE,sigmaF,"control, activation","nmod:of(control, activation)",regulation of gene activation,INO_0000037,2,"Taken together, the results support the idea that sequestration of [PROTEIN1] SpoIIE [/PROTEIN1] protein into the prespore plays an important role in the control of [PROTEIN2] sigmaF [/PROTEIN2] activation and in coupling this activation to septation."
25,SpoIIAA,sigmaF,controlled,ONE WORD,controling,INO_0000057,1,"[PROTEIN2] sigmaF [/PROTEIN2] is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, [PROTEIN1] SpoIIAA [/PROTEIN1], and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form."
26,SpoIIE,sigmaF,controlled,ONE WORD,controling,INO_0000057,1,"[PROTEIN2] sigmaF [/PROTEIN2] is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, [PROTEIN1] SpoIIE [/PROTEIN1], which converts the inactive, phosphorylated form of SpoIIAA back to the active form."
27,SpoIIE,SpoIIAA,"converts, active",-1,regulation of gene activation,INO_0000037,2,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, [PROTEIN2] SpoIIAA [/PROTEIN2], and a membrane-bound phosphatase, [PROTEIN1] SpoIIE [/PROTEIN1], which converts the inactive, phosphorylated form of SpoIIAA back to the active form."
28,SigL,rocG,transcribed,ONE WORD,gene transcription,INO_0000173,1,"The [PROTEIN2] rocG [/PROTEIN2] gene of Bacillus subtilis, encoding a catabolic glutamate dehydrogenase, is transcribed by [PROTEIN1] SigL [/PROTEIN1]-containing RNA polymerase and requires for its expression RocR, a member of the NtrC/NifA family of proteins that bind to enhancer-like elements, called upstream activating sequences (UAS)."
32,E sigma E,yfhS,transcribed,ONE WORD,regulation of transcription,INO_0000032,1,Northern blot and primer extension analyses indicated that [PROTEIN2] yfhS [/PROTEIN2] is transcribed by [PROTEIN1] E sigma E [/PROTEIN1] during sporulation.
