,Unnamed: 0,Gene1,Gene2,Keywords,Direct dependency relations,INO Type,INO ID,Num. Keywords,Sentence,Prompts
0,0,KinC,Spo0A~P,"responsible, production","nmod(responsible, production)",regulation of translation,INO_0000034,2,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.","What is the keyword that represents the  interaction between the proteins KinC and Spo0A~P in the given sentence? In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB. Keywords: responsible, production"
1,1,KinD,Spo0A~P,"responsible, production","nmod(responsible, production)",regulation of translation,INO_0000034,2,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.","What is the keyword that represents the  interaction between the proteins KinD and Spo0A~P in the given sentence? In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB. Keywords: responsible, production"
2,2,sigma(A),spoIIG,"transcription, depends","nsubj(depends, transcription)",regulation of transcription,INO_0000032,2,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.","What is the keyword that represents the  interaction between the proteins sigma(A) and spoIIG in the given sentence? In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C. Keywords: transcription, depends"
3,3,Spo0A,spoIIG,"transcription, depends","nsubj(depends, transcription)",regulation of transcription,INO_0000032,2,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.","What is the keyword that represents the  interaction between the proteins Spo0A and spoIIG in the given sentence? In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C. Keywords: transcription, depends"
4,4,SigE,ydhD,"transcription, dependent","nsubj(dependent, transcription)",regulation of transcription,INO_0000032,2,"Transcription of ydhD was dependent on SigE, and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation).","What is the keyword that represents the  interaction between the proteins SigE and ydhD in the given sentence? Transcription of ydhD was dependent on SigE, and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation). Keywords: transcription, dependent"
5,5,SigK,ykuD,transcribed,ONE WORD,regulation of transcription,INO_0000032,1,ykuD was transcribed by SigK RNA polymerase from T4 of sporulation.,What is the keyword that represents the  interaction between the proteins SigK and ykuD in the given sentence? ykuD was transcribed by SigK RNA polymerase from T4 of sporulation. Keywords: transcribed
6,6,SigK,ykvP,"essential, expression","nmod(essential, expression)",gene expression regulation,INO_0000044,2,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.","What is the keyword that represents the  interaction between the proteins SigK and ykvP in the given sentence? Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation. Keywords: essential, expression"
7,7,GerE,ykvP,"essential, expression","nmod(essential, expression)",gene expression regulation,INO_0000044,2,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.","What is the keyword that represents the  interaction between the proteins GerE and ykvP in the given sentence? Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation. Keywords: essential, expression"
8,8,sigma(F),ywhE,"expression, controlled",-1,gene expression regulation,INO_0000044,2,"Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G).","What is the keyword that represents the  interaction between the proteins sigma(F) and ywhE in the given sentence? Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G). Keywords: expression, controlled"
9,10,SpoIIE,sigma(F),"essential, activation","nmod:for(essential, activation)",regulation of gene activation,INO_0000037,2,"Secondly, SpoIIE is essential for the activation of the first compartment-specific transcription factor sigma(F) in the prespore.","What is the keyword that represents the  interaction between the proteins SpoIIE and sigma(F) in the given sentence? Secondly, SpoIIE is essential for the activation of the first compartment-specific transcription factor sigma(F) in the prespore. Keywords: essential, activation"
